,doi,name,description
557,10.1038/s41598-019-48931-6,Fabrication of hierarchical core/shell MgCo2O4@MnO2 nanowall arrays on Ni-foam as high–rate electrodes for asymmetric supercapacitors,Design and fabrication of a hierarchical core/shell MgCo2O4@MnO2 nanowall arrays on Ni-foam by a facile two-step hydrothermal method. The electrochemical measurements prove these composites with MnO2 
558,10.1038/srep05687,Cobalt vanadium oxide thin nanoplates: primary electrochemical capacitor application,"Co3V2O8 thin nanoplates are firstly described as a kind of electrode material for supercapacitors. More importantly, from electrochemical measurements, the obtained Co3V2O8 nanoplate electrode shows a"
559,10.1021/am404765y,Rapid Microwave-Assisted Green Synthesis of 3D Hierarchical Flower-Shaped NiCo2O4 Microsphere for High-Performance Supercapacitor,Binary metal oxides with three-dimensional (3D) superstructure have been regarded as desirable electrode materials for the supercapacitor due to the combination of the improved electrical conductivity
560,10.1021/acsami.2c03380,Surface Engineering of Cr-Doped Cobalt Molybdate toward High-Performance Hydrogen Evolution,Replacing commercial noble metal catalysts with earth-abundant metal catalysts for hydrogen production is an important research direction for electrolytic water. Improving the catalytic performance of
561,10.1039/d1dt01381e,Rice-like and rose-like zinc silicates anchored on amorphous carbon derived from natural reed leaves for high-performance supercapacitors,"3D N, S, P-doped rice-like C-Zn4Si2O7(OH)2·H2O (C-ZnSi-N2) and rose-like C-Zn2SiO4 (C-ZnSi-CO2) are derived from reed leaves and used for application in supercapacitors. The as-prepared C-ZnSi archite"
562,10.1039/d0ra10659c,Controllable synthesis of hollow spherical nickel chalcogenide (NiS 2 and NiSe 2 ) decorated with graphene for efficient supercapacitor electrodes,New carbon-loaded nickel chalcogenide electrode materials (NiS2/GO and NiSe2/rGO) have been synthesized through an easy-to-operate process: NiSe2 was obtained based on
563,10.1021/acs.inorgchem.1c01413,Oriented Nanosheet-Assembled CoNi-LDH Cages with Efficient Ion Diffusion for Quasi-Solid-State Hybrid Supercapacitors,"Fast-charged energy-storage technologies have become important nowadays as they are required by many applications, including automobiles. This inspires the exploitation of hybrid supercapacitors (HSCs"
564,10.1021/acsami.5b07233,Solvent-Controlled Synthesis of NiO–CoO/Carbon Fiber Nanobrushes with Different Densities and Their Excellent Properties for Lithium Ion Storage,NiO-CoO nanoneedles are grown on carbon fibers by a solvothermal strategy to form nanobrushes. The density of nanobrushes can be easily controlled by altering the solvents. The synthesis mechanism of 
565,10.1016/j.jcis.2019.07.063,Rational construction of triangle-like nickel-cobalt bimetallic metal-organic framework nanosheets arrays as battery-type electrodes for hybrid supercapacitors,"Reasonably designing self-supported metal-organic framework (MOF) nanoarrays is profound for applications in energy storage and conversion. Herein, we construct a triangle-like nickel-cobalt bimetalli"
566,10.1186/s11671-018-2844-3,Temperature-Dependent Electrical Transport Properties of Individual NiCo2O4 Nanowire,Understanding the electrical transport properties of individual nanostructures is of great importance to the construction of high-performance nanodevices. NiCo2O4 nanowires have been investigated wide
567,10.1021/acsami.1c04525,Stability-Enhanced α‑Ni(OH)2 Pillared by Metaborate Anions for Pseudocapacitors,"α-Ni(OH)2 is an ideal candidate material for a supercapacitor except for its low conductivity and poor stability. In this work, BO2--intercalated α-Nix"
568,10.1039/d0nr05377e,Design of nickel cobalt molybdate regulated by boronizing for high-performance supercapacitor applications,"Nickel-cobalt-based molybdates have been intensively investigated because of their high theoretical specific capacitance and multifarious oxidation states. Here, we have successfully synthesized hiera"
569,10.1021/acsami.7b05384,Honeycomb-Like Interconnected Network of Nickel Phosphide Heteronanoparticles with Superior Electrochemical Performance for Supercapacitors,Transition-metal-based heteronanoparticles are attracting extensive attention in electrode material design for supercapacitors owing to their large surface-to-volume ratios and inherent synergies of i
570,10.1088/0957-4484/27/47/475402,Ultra-tiny ZnMn2O4 nanoparticles encapsulated in sandwich-like carbon nanosheets for high-performance supercapacitors,"Known as an excellent energy storage material, ZnMn2O4 has a wide range of applications in supercapacitors. In this report, a special sandwich-like structure of ZnMn2O"
571,10.1021/acsami.2c02507,High-Energy-Density Asymmetric Supercapacitor Based on Free-Standing Ti3C2T X @NiO-Reduced Graphene Oxide Heterostructured Anode and Defective Reduced Graphene Oxide Hydrogel Cathode,The rational design of an asymmetric supercapacitor (ASC) with an expanded operating voltage window has been recognized as a promising strategy to maximize the energy density of the device. Neverthele
572,10.1016/j.jcis.2022.02.110,Biomass-derived carbon dots regulating nickel cobalt layered double hydroxide from 2D nanosheets to 3D flower-like spheres as electrodes for enhanced asymmetric supercapacitors,"Layered double hydroxides (LDHs) often require the use of carbon materials to improve their stability, conductivity, and specific surface area to accommodate new directions in the development of high-"
573,10.1021/am5068244,High-Performance Lithium-Ion Battery and Symmetric Supercapacitors Based on FeCo2O4 Nanoflakes Electrodes,"A successive preparation of FeCo2O4 nanoflakes arrays on nickel foam substrates is achieved by a simple hydrothermal synthesis method. After 170 cycles, a high capacity of 905 mAh g(-1) at 200 mA g(-1"
574,10.1021/acsomega.2c00826,Simultaneous Electrodeposition of Ternary Metal Oxide Nanocomposites for High-Efficiency Supercapacitor Applications,"Complex oxides and hydroxides of Ni, Co, and Mn from a precursor mixture were electrochemically deposited on both a cathode and an anode. On the Ni foam cathode, the complex metal hydroxides precipita"
575,10.1039/c8ra09081e,Enhanced electrochemical performance of nanoplate nickel cobaltite (NiCo 2 O 4 ) supercapacitor applications,"Well-ordered, unique interconnected nanostructured binary metal oxides with lightweight, free-standing, and highly flexible nickel foam substrate electrodes have attracted tremendous research attentio"
576,10.1002/anie.201802663,Emerging Carbon‐Nanofiber Aerogels: Chemosynthesis versus Biosynthesis,Carbon aerogels that are typically prepared using sol-gel chemistry have unique three dimensional networks of interconnected nanometer-sized particles and thus exhibit many fascinating physical proper
577,10.1039/d0dt02029j,Engineering coordination polymer-derived one-dimensional porous S-doped Co 3 O 4 nanorods with rich oxygen vacancies as high-performance electrode materials for hybrid supercapacitors,"Structure and defect manipulation are regarded as efficacious strategies to boost the electrochemical activity of electrode materials. Herein, the construction of one-dimensional (1D) porous S-doped C"
578,10.1021/nn5040197,Hydrothermally Formed Three-Dimensional Nanoporous Ni(OH)2 Thin-Film Supercapacitors,A three-dimensional nanoporous Ni(OH)2 thin-film was hydrothermally converted from an anodically formed porous layer of nickel fluoride/oxide. The nanoporous Ni(OH)2 thin-films can be used as additive
579,10.1016/j.chemosphere.2021.130801,Metal-organic frameworks-derived hierarchical Co3O4/CoNi-layered double oxides nanocages with the enhanced catalytic activity for toluene oxidation,The development of active transition-metal oxide (TMO) catalysts for the abatement of volatile organic compounds (VOCs) remains a great challenge. Controllable synthesis of TMOs with specific morpholo
580,10.1088/1361-6528/ab7604,Ethylenediamine-assisted growth of multi-dimensional ZnS nanostructures and study of its charge transfer mechanism on supercapacitor electrode and photocatalytic performance,"In recent years, much interest has been raised by materials with multi-purpose characteristics as the performance of electrochemical energy devices such as supercapacitors and photocatalytic activitie"
581,10.1021/acsami.7b03709,Hybrid Reduced Graphene Oxide Nanosheet Supported Mn–Ni–Co Ternary Oxides for Aqueous Asymmetric Supercapacitors,Hybrid reduced graphene oxide (RGO) nanosheet supported Mn-Ni-Co ternary oxides (MNCO) are prepared through a facile coprecipitation reaction with a subsequent calcination process as electrodes for su
582,10.1038/srep20313,Facile Synthesis of Core/Shell-like NiCo2O4-Decorated MWCNTs and its Excellent Electrocatalytic Activity for Methanol Oxidation,The design and development of an economic and highly active non-precious electrocatalyst for methanol electrooxidation is challenging due to expensiveness of the precursors as well as processes and no
583,10.1016/j.jcis.2019.04.066,Novel fabrication of hollow and spinous NiCo2S4 nanotubes templated by natural silk for all-solid-state asymmetric supercapacitors,"Recently, ternary cobalt nickel sulfide, performing as the promising electrode material for supercapacitors has obtained great interests. Herein, the hollow and spinous NiCo2S4 n"
584,10.1039/c8ra02559b,A facile one-step hydrothermal approach to synthesize hierarchical core–shell NiFe 2 O 4 @NiFe 2 O 4 nanosheet arrays on Ni foam with large specific capacitance for supercapacitors,"In this contribution, NiFe2O4@NiFe2O4 nanosheet arrays (NSAs) with three-dimensional (3D) hierarchical core-shell structures were synthesized by a facile on"
585,10.1016/j.ultsonch.2019.104663,Synthesis of multifunctional FeCo2O4 electrode using ultrasonic treatment for photocatalysis and energy storage applications,"To overcome problem of energy crises, and water pollution, multifunctional nanoflower-like FeCo2O4 is synthesized for energy storage and photocatalysis applications. The nanoflow"
586,10.1016/j.jcis.2022.08.065,Tunable dual cationic redox couples boost bifunctional oxygen electrocatalysis for long-term rechargeable Zn-air batteries,Efficient nonprecious bifunctional electrocatalysts toward oxygen reduction reaction (ORR) and oxygen evolution reaction (OER) are essential for improving the electrochemical performance of Zinc-air (
587,10.1038/srep24128,Hydrothermal synthesis of NiWO4 crystals for high performance non-enzymatic glucose biosensors,"A facile hydrothermal route for the synthesis of ordered NiWO4 nanocrystals, which show promising applications as high performance non-enzymatic glucose sensor is reported. The NiWO4-modified electrod"
588,10.1021/acs.langmuir.0c03056,Transformation of Battery to High Performance Pseudocapacitor by the Hybridization of W18O49 with RuO2 Nanostructures,Defects such as oxygen vacancy in the nanostructures have paramount importance in tuning the optical and electronic properties of a metal oxide. Here we report the growth of oxygen deficit tungsten ox
589,10.1021/acsami.1c08798,Electrospun One-Dimensional Electrocatalysts for Oxygen Reduction Reaction: Insights into Structure–Activity Relationship,"Oxygen reduction reaction (ORR) is an efficiency-determining process at the cathode in several energy storage and conversion devices, typically such as metal-air batteries and fuel cells. To date, a c"
590,10.1016/j.jcis.2020.06.091,Defect-rich honeycomb-like nickel cobalt sulfides on graphene through rapid microwave-induced synthesis for ultrahigh rate supercapacitors,"Nickel cobalt sulfides (NCS) are regarded as potential energy storage materials due to the versatile valent states and rich electrochemical activity, but their sluggish synthesis process and inferior "
591,10.1016/j.jcis.2017.11.067,Hierarchical NiCo2O4 nanosheets grown on hollow carbon microspheres composites for advanced lithium-ion half and full batteries,Hierarchical ultrathin NiCo2O4 nanosheeets grown on uniform hollow carbon microspheres (HC@NiCo2O4) are designed and fabricated by a solvothermal reaction f
592,10.1039/d1dt03949k,Superstructure MOF as a framework to composite MoS 2 with rGO for Li/Na-ion battery storage with high-performance and stability,"Metal sulfides, one kind of electrode material with very high theoretical capacity, have been widely studied for use in lithium and sodium ion batteries. However, there are some problems hindering the"
593,10.1166/jnn.2018.15410,An Asymmetric Supercapacitor Based on Activated Porous Carbon Derived from Walnut Shells and NiCo2O4 Nanoneedle Arrays Electrodes,A facile method was utilized to convert a common biomass of walnut shells into activated porous carbon by carbonization and activation with nitricacid treatment. The obtained activated carbon (WSs-2) 
594,10.1021/acsami.8b21803,Achieving Ultrahigh Capacity with Self-Assembled Ni(OH)2 Nanosheet-Decorated Hierarchical Flower-like MnCo2O4.5 Nanoneedles as Advanced Electrodes of Battery–Supercapacitor Hybrid Devices,"Self-assembled Ni(OH)2 nanosheet-decorated hierarchical flower-like MnCo2O4.5 nanoneedles were synthesized via a cost-effective and facile hydrothermal strategy, aimin"
595,10.1021/acsnano.7b06296,Tuning Shell Numbers of Transition Metal Oxide Hollow Microspheres toward Durable and Superior Lithium Storage,"Multishelled hollow structured transition metal oxides (TMOs) are highly potential materials for high energy density energy storage due to their high volumetric energy density, reduced aggregation of "
596,10.1039/d0ra06758j,CuO nanorods grown vertically on graphene nanosheets as a battery-type material for high-performance supercapacitor electrodes,"This work reports the preparation and characterization of the CuO nanorods grown vertically on graphene nanosheets, denoted as CuO/rGO@NF. Graphene is deposited by electrostatic attraction showing the"
597,10.1039/c8cp07275b,Controllable design of double metal oxide (NiCo 2 O 4 )-modified CdS for efficient photocatalytic hydrogen production,"In the present study, we have successfully synthesized a kind of high-efficiency NiCo2O4/CdS composite photocatalyst using the hydrothermal method and high-temperature calcination. With the addition o"
598,10.1039/c8dt00591e,In situ preparation of MgCo 2 O 4 nanosheets on Ni-foam as a binder-free electrode for high performance hybrid supercapacitors,"A binder-free, MgCo2O4 nanosheet-like architecture was prepared on Ni-foam using a hydrothermal method. MgCo2O4/Ni-foam was characterized by X-ray diffraction, field emission scanning electron microsc"
599,10.1039/c4nr02370f,Reduced graphene oxide (RGO)-supported NiCo 2 O 4 nanoparticles: an electrocatalyst for methanol oxidation,"The design and development of cheap, highly active, and durable non-platinum (Pt)-based electrocatalysts for methanol electrooxidation is highly desirable, but is a challenging task. In this paper, we"
600,10.1088/1361-6528/aac3f4,Facile fabrication and configuration design of Co3O4 porous acicular nanorod arrays on Ni foam for supercapacitors,The configuration of electrode materials is of great significance to the performance of supercapacitors (SCs) because of its direct effects on specific surface area and electron transfer path. Given t
601,10.1038/s41598-017-17899-6,High Density Arrayed Ni/NiO Core-shell Nanospheres Evenly Distributed on Graphene for Ultrahigh Performance Supercapacitor,"A novel NiO/Ni/RGO three-dimensional core-shell architecture consisting of Ni nanoparticles as core, NiO as shell and reduced graphene oxide (RGO) as conductivity layer, has been constructed by redox "
602,10.1021/acsomega.8b03618,Hydrothermally Tailored Three-Dimensional Ni–V Layered Double Hydroxide Nanosheets as High-Performance Hybrid Supercapacitor Applications,"Here, we report a facile and easily scalable hydrothermal synthetic strategy to synthesize Ni-V layered double hydroxide (NiV LDH) nanosheets toward high-energy and high-power-density supercapacitor a"
603,10.1021/acsami.0c11982,Direct Assembly of 3D-BCN Microspheres as a Microsupercapacitor Electrode for Wearable Energy Storage,"Scalable and cost-effective fabrication of three-dimensional (3D) boron carbon nitride (BCN) microspheres was first demonstrated by hydrothermal and annealing methods. In particular, the specific surf"
604,10.1016/j.jcis.2018.01.038,Microwave synthesis of three-dimensional nickel cobalt sulfide nanosheets grown on nickel foam for high-performance asymmetric supercapacitors,A facile and cost-effective microwave method is developed to prepare ternary nickel cobalt sulfide (NiCo2S4) interconnected nanosheet arrays on nickel foam (NF). When acting as a
605,10.1002/cplu.202200180,Construction of CoMo2S4 Nanorods/Nanosheets Electrodes with Enhanced Electrochemical Properties for Asymmetric Pseudocapacitors,"The construction of hierarchical nanostructures and the synergistic effect of bimetal compounds provide effective strategies to address the low energy density of supercapacitors. Herein, CoMo2"
606,10.1038/s41598-020-75879-9,Marigold flower like structured Cu2NiSnS4 electrode for high energy asymmetric solid state supercapacitors,"The growth in energy devices and the role of supercapacitors are increasingly important in today’s world. Designing an electrode material for supercapacitors using metals that have high performance, s"
607,10.1002/smll.201400152,Preparation of Carbon‐Coated NiCo2O4@SnO2 Hetero‐nanostructures and Their Reversible Lithium Storage Properties,Carbon-coated NiCo2 O4 @SnO2 core-shell hetero-nanostructures are synthesized by a facile hydrothermal process and subsequent carbon nano-coating. When evaluated as anode materials for lithium-ion bat
608,10.1021/acs.inorgchem.0c00089,Synergistic Modulation of Active Sites and Charge Transport: N/S Co-doped C Encapsulated NiCo2O4/NiO Hollow Microrods for Boosting Oxygen Evolution Catalysis,"Developing high-efficiency and cost-effective electrocatalysts for the oxygen evolution reaction (OER) is crucial for various energy conversion systems. Herein, N/S co-doped C encapsulated hollow NiCo"
609,10.1016/j.jcis.2020.11.046,P-doped cobalt carbonate hydroxide@NiMoO4 double-shelled hierarchical nanoarrays anchored on nickel foam as a bi-functional electrode for energy storage and conversion,"The rational structure design and controllable surface modification of electrode materials plays a decisive role in constructing high performance energy storage and conversion devices. Herein, the P-d"
610,10.1038/srep39980,Layered Ni(OH)2-Co(OH)2 films prepared by electrodeposition as charge storage electrodes for hybrid supercapacitors,Consecutive layers of Ni(OH)2 and Co(OH)2 were electrodeposited on stainless steel current collectors for preparing charge storage electrodes of high specific capacity with potential application in hy
611,10.1021/acsami.6b01872,Application of Chemical Doping and Architectural Design Principles To Fabricate Nanowire Co2Ni3ZnO8 Arrays for Aqueous Asymmetric Supercapacitors,"Electrode materials derived from transition metal oxides have a serious problem of low electron transfer rate, which restricts their practical application. However, chemically doped graphene transform"
612,10.1038/srep23398,Au-NiCo2O4 supported on three-dimensional hierarchical porous graphene-like material for highly effective oxygen evolution reaction,A three-dimensional hierarchical porous graphene-like (3D HPG) material was synthesized by a one-step ion-exchange/activation combination method using a cheap metal ion exchanged resin as carbon precu
613,10.1016/j.jcis.2018.06.077,Zeolitic imidazolate frameworks (ZIFs)-derived NixCo3−xO4/CNTs nanocomposites with enhanced electrochemical performance for supercapacitor,"Coupling Co-Ni bimetallic oxides with carbon nanotubes (CNTs) is recognized an effective strategy to enhance the performance of supercapacitors. In this work, porous NixCo3-xO"
614,10.1021/acsomega.1c01870,"Imidazolatic-Framework Bimetal Electrocatalysts with a Mixed-Valence Surface Anchored on an rGO Matrix for Oxygen Reduction, Water Splitting, and Dye Degradation",This paper presents a simple strategy for manufacturing bifunctional electrocatalysts-graphene nanosheets (GNS) coated with an ultrafine NiCo-MOF as nanocomposites (denoted NiCo-MOF@GNS) having a N-do
615,10.1021/acsami.9b11994,Construction of Hierarchical NiCo2O4@Ni-MOF Hybrid Arrays on Carbon Cloth as Superior Battery-Type Electrodes for Flexible Solid-State Hybrid Supercapacitors,"Metal-organic frameworks (MOFs) have been considered as a class of promising electrode materials for supercapacitors owing to their large surface area, rich porosity, and variable redox sites; however"
616,10.1021/acs.inorgchem.8b01020,Rational Design of Co(II) Dominant and Oxygen Vacancy Defective CuCo2O4@CQDs Hollow Spheres for Enhanced Overall Water Splitting and Supercapacitor Performance,The hierarchical CuCo2O4@carbon quantum dots (CQDs) hollow microspheres constructed by 1D porous nanowires have been successfully prepared through a simple CQDs-induced hydrother
617,10.1021/acsami.5b10280,Nickel Cobalt Hydroxide @Reduced Graphene Oxide Hybrid Nanolayers for High Performance Asymmetric Supercapacitors with Remarkable Cycling Stability,"Nanolayered structures present significantly enhanced electrochemical performance by facilitating the surface-dependent electrochemical reaction processes for supercapacitors, which, however, causes c"
618,10.1038/srep20973,Self-sacrifice Template Formation of Hollow Hetero-Ni7S6/Co3S4 Nanoboxes with Intriguing Pseudo-capacitance for High-performance Electrochemical Capacitors,"Herein, we report a simple yet efficient self-sacrifice template protocol to smartly fabricate hollow hetero-Ni7S6/Co3S4 nanoboxes (Ni-Co-S NBs). Uniform nickel cobalt carbonate nanocubes are first sy"
619,10.1021/am5010199,"Nanostructured (Co, Ni)-Based Compounds Coated on a Highly Conductive Three Dimensional Hollow Carbon Nanorod Array (HCNA) Scaffold for High Performance Pseudocapacitors","The electrochemical performance of the pseudocapacitive materials is seriously limited by poor electron and ions transport. Herein, an advanced integrated electrode has been designed by growing the ps"
620,10.1016/j.jcis.2020.03.122,Electrospun Nb2O5 nanorods/microporous multichannel carbon nanofiber film anode for Na+ ion capacitors with good performance,"For the disadvantages of both the slow reaction kinetics and the poor conductivity for Nb2O5 electrode materials as sodium-ion capacitors (SICs), Nb2O5 NRs/"
621,10.1021/am5028154,Hierarchical Core–Shell Structure of ZnO Nanorod@NiO/MoO2 Composite Nanosheet Arrays for High-Performance Supercapacitors,A hierarchical core-shell structure of ZnO nanorod@NiO/MoO2 composite nanosheet arrays on nickel foam substrate for high-performance supercapacitors was constructed by a two-step solution-based method
622,10.1021/acsami.1c12973,Controllably Doping Nitrogen into 1T/2H MoS2 Heterostructure Nanosheets for Enhanced Supercapacitive and Electrocatalytic Performance by Low-Power N2 Plasma,Molybdenum disulfide (MoS2) is a promising candidate for use as a supercapacitor electrode material and non-noble-metal electrocatalyst owing to its relatively high theoretical specific cap
623,10.1002/asia.202200685,Pseudocapacitive features of freestanding nickel–zinc organometallic nanostructured arrays for high‐energy density coin‐cell asymmetric supercapacitors,Binder-free two-dimensional mesh-like structure of nickel-zinc metal-organic framework on in-situ-coated carbon cloth (Ni-Zn MOF/CC) and Ni-Zn MOF powder were developed via a solvo-hydrothermal reacti
624,10.1039/c8ra03522a,Effect of cationic disorder on the energy generation and energy storage applications of Ni x Co 3−x S 4 thiospinel,"Thiospinels show interesting catalytic and energy storage applications, however, the cationic disorder can have major influence on the energy generation and/or energy storage applications. In this stu"
625,10.1021/acs.langmuir.0c02548,Aggregates of Ni/Ni(OH)2/NiOOH Nanoworms on Carbon Cloth for Electrocatalytic Hydrogen Evolution,"The development of an efficient electrocatalyst for hydrogen evolution reaction (HER) is essential to facilitate the practical application of water splitting. Here, we aim to develop an electrocatalys"
626,10.1039/d2cc00475e,Iron decorated ultrathin cobaltous hydroxide nanoflakes with impressive electrochemical reactivity for aqueous Zn batteries,"The main bottlenecks of current Co-based cathodes are their relatively low capacity and inferior reversibility. Here, we report Fe decorated cobaltous hydroxide (FCO) nanoflakes with vastly improved c"
627,10.1021/acsami.7b03254,Facile Growth of Caterpillar-like NiCo2S4 Nanocrystal Arrays on Nickle Foam for High-Performance Supercapacitors,"Ternary cobalt nickel sulfide as a novel and efficient electrode material in supercapacitors has recently gained extensive interests. Herein, we first report a highly conductive caterpillar-like NiCo<"
628,10.1021/nn406480g,Cobalt Hydroxide/Oxide Hexagonal Ring–Graphene Hybrids through Chemical Etching of Metal Hydroxide Platelets by Graphene Oxide: Energy Storage Applications,The reaction of β-Co(OH)2 hexagonal platelets with graphite oxide in an aqueous colloidal dispersion results in the formation of β-Co(OH)2 hexagonal rings anchored to graphene oxide layers. The intera
629,10.1088/1361-6528/aa6291,Core–shell ZnCo2O4@TiO2 nanowall arrays as anodes for lithium ion batteries,In this paper ZnCo2O4 nanowall arrays (NWAs) were first obtained through self-assembly followed by calcination. Then atomic layer deposition was used to fabricate core-shell ZnCo
630,10.1016/j.jcis.2021.08.016,High-performance flexible supercapacitor enabled by Polypyrrole-coated NiCoP@CNT electrode for wearable devices,"As a pseudocapacitive electrode material, nickel-cobalt bimetallic phosphide has attracted wide attention with its advantage in capacitance and chemical activity. While, like Ni-Co oxides or sulfides,"
631,10.1021/acsomega.2c00183,"CuCo2S4@B,N-Doped Reduced Graphene Oxide Hybrid as a Bifunctional Electrocatalyst for Oxygen Reduction and Evolution Reactions","In this report, a facile synthetic route is adopted for typically designing a hybrid electrocatalyst containing boron, nitrogen dual-doped reduced graphene oxide (B,N-rGO) and thiospinel CuCo2"
632,10.1039/d1ra00424g,Sulfur and phosphorus co-doped nickel–cobalt layered double hydroxides for enhancing electrochemical reactivity and supercapacitor performance,"Layered double hydroxides (LDHs) have drawn significant interest as emerging active materials for advanced energy storage devices; however, their low electric and ionic conductivity limit their applic"
633,10.1021/acsomega.8b01375,Hierarchical Nickel–Cobalt Dichalcogenide Nanostructure as an Efficient Electrocatalyst for Oxygen Evolution Reaction and a Zn–Air Battery,A unique three-dimensional (3D) structure consisting of a hierarchical nickel-cobalt dichalcogenide spinel nanostructure is investigated for its electrocatalytic properties at benign neutral and alkal
634,10.1021/acsomega.7b00709,"Pseudocapacitance of Mesoporous Spinel-Type MCo2O4 (M = Co, Zn, and Ni) Rods Fabricated by a Facile Solvothermal Route","We present the structural properties and electrochemical capacitance of mesoporous MCo2O4 (M = Co, Zn, and Ni) rods synthesized by a facile solvothermal route without necessity t"
635,10.1039/c8dt01245h,NiMoO 4 @NiWO 4 honeycombs as a high performance electrode material for supercapacitor applications,"In this study, we report a facile two-step fabrication of honeycomb-like NiMoO4@NiWO4 nanocomposites on Ni foam as the electrode for high-performance supercapacitor applications. Structural characteri"
636,10.1016/j.carbpol.2020.117209,"Compressible, anisotropic lamellar cellulose-based carbon aerogels enhanced by carbon dots for superior energy storage and water deionization","Heteroatom-doped carbon materials have received great attention for applications in electrode materials. However, conventional heteroatom-doping methods sacrifice conductivity, stability, and specific"
637,10.1021/acsami.1c15839,Template-Regulated Bimetallic Sulfide Nanozymes with High Specificity and Activity for Visual Colorimetric Detection of Cellular H2O2,"For the past several decades, most of the research studies on nanozymes have been aimed at improving their catalytic activity and diversity; however, developing nanozymes with strong catalytic activit"
638,10.1016/j.foodchem.2021.129202,Carbon cloth-supported nanorod-like conductive Ni/Co bimetal MOF: A stable and high-performance enzyme-free electrochemical sensor for determination of glucose in serum and beverage,"In this work, we propose a electrochemical enzyme-free glucose sensor by direct growth of conductive Ni/Co bimetal MOF on carbon cloth [Ni/Co(HHTP)MOF/CC] via a facile hydrothermal method. Due to exce"
639,10.1371/journal.pone.0164657,"Fabrication of (Co,Mn)3O4/rGO Composite for Lithium Ion Battery Anode by a One-Step Hydrothermal Process with H2O2 as Additive","Binary transition metal oxides have been regarded as one of the most promising candidates for high-performance electrodes in energy storage devices, since they can offer high electrochemical activity "
640,10.1021/acsami.5b11300,Construction of Hierarchical α‑MnO2 Nanowires@Ultrathin δ‑MnO2 Nanosheets Core–Shell Nanostructure with Excellent Cycling Stability for High-Power Asymmetric Supercapacitor Electrodes,Poor electrical conductivity and mechanical instability are two major obstacles to realizing high performance of MnO2 as pseudocapacitor material. The construction of unique hierarchical core-shell na
641,10.1016/j.jcis.2021.08.140,Hydrangea-like NiMoO4-Ag/rGO as Battery-type electrode for hybrid supercapacitors with superior stability,"It is a great challenge to design electrode materials with good stability and high specific capacitance for supercapacitors. Herein, a three-dimensional (3D) hydrangea-like NiMoO4 micro-arc"
642,10.1038/s41598-019-54746-2,Fabrication of porous NiMn2O4 nanosheet arrays on nickel foam as an advanced sensor material for non-enzymatic glucose detection,"In this work, porous NiMn2O4 nanosheet arrays on nickel foam (NiMn2O4 NSs@NF) was successfully fabricated by a simple hydrothermal step followed by a heat treatment. Porous NiMn2O4 NSs@NF is directly "
643,10.1016/j.jcis.2016.08.070,High carrier concentration ZnO nanowire arrays for binder-free conductive support of supercapacitors electrodes by Al doping,"Doping semiconductor nanowires (NWs) for altering their electrical and optical properties is a critical strategy for tailoring the performance of nanodevices. Here, we prepared in situ Al-doped ZnO na"
644,10.1016/j.jcis.2018.09.100,Synthesis of NiGa2S4-rGO on nickel foam as advanced electrode for flexible solid-state supercapacitor with superior energy density,"Pseudocapacitive electrode materials employed in supercapacitors may bring in high energy density (ED) and specific capacitance (Csc), which are critical for their practical applications. A"
645,10.1007/s40820-020-00577-0,Laser Synthesis and Microfabrication of Micro/Nanostructured Materials Toward Energy Conversion and Storage,HighlightsThe current understanding and advances on laser synthesis of nanomaterials are summarized.The laser microfabrication-enabled energy conversion and storage devices are reviewed.The limitation
646,10.1021/acsami.0c05612,One-Dimensional NiSe–Se Hollow Nanotubular Architecture as a Binder-Free Cathode with Enhanced Redox Reactions for High-Performance Hybrid Supercapacitors,Selenium-enriched nickel selenide (NiSe-Se) nanotubes supported on highly conductive nickel foam (NiSe-Se@Ni foam) were synthesized using chemical bath deposition with the aid of lithium chloride as a
647,10.1088/1361-6528/ab6fda,ZIF-derived porous carbon composites coated on NiCo2S4 nanotubes array toward efficient water splitting,It is highly desired but challenging to grow self-supporting zeolitic imidazolate framework (ZIF) derived carbon hybrids with well-aligned superstructures for various electrocatalytic applications. In
648,10.1021/acsami.5b10044,Mesoporous NiCo2O4 Nanoplates on Three-Dimensional Graphene Foam as an Efficient Electrocatalyst for the Oxygen Reduction Reaction,"Catalysts for the oxygen reduction reaction (ORR) are highly important in fuel cells and metal-air batteries. Cheap ORR catalysts with ultrahigh electrochemical activity, selectivity, and stability ar"
649,10.1021/acsami.2c06691,Sub-Second Joule-Heated RuO2‑Decorated Nitrogen- and Sulfur-Doped Graphene Fibers for Flexible Fiber-type Supercapacitors,"Graphene-based fiber-shaped supercapacitors (FSSCs) have received considerable attention as potential wearable energy storage devices owing to their simple operating mechanism, flexibility, and long-t"
650,10.3762/bjnano.8.74,Synthesis of graphene–transition metal oxide hybrid nanoparticles and their application in various fields,"Single layer graphite, known as graphene, is an important material because of its unique two-dimensional structure, high conductivity, excellent electron mobility and high surface area. To explore the"
651,10.1088/1361-6528/aad0b5,Nanowire-core/double-shell of NiMoO4@C@Ni3S2 arrays on Ni foam: insights into supercapacitive performance and capacitance degradation,"The one-dimensional-core/double-shell arrays on Ni foam were prepared by the hydrothermal, carbonized and electrodeposition processes, consisting of NiMoO4 nanowire as a core, an ultrathin "
